id,subdomain,name,statement,variables_and_units,value_or_exponent,status,status_note,regime_variable,falsification_test,trok_gate_prognosis
1,Cryptography/hash,Birthday collision bound,P_coll(q) = 1 - exp(-q(q-1)/2^(b+1)),q = queries [1]; b = digest bits [1],q_50% = 1.1774*2^(b/2),PROVEN,proven,digest width b,SHA-256: no collision below ~2^128 queries; a single counterexample falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
2,Cryptography/hash,Preimage cost,T_preimage = 2^b classical hash evaluations,b = digest bits [1]; T = evaluations [1],2^b,PROVEN,proven,classical vs quantum adversary,Any generic preimage in <2^b breaks the bound,"passes dimensional; regime gate n/a (theorem, not fitted)"
3,Cryptography/hash,Grover quantum search bound,T_quantum = (pi/4)*2^(b/2),b = search space bits [1],pi/4 = 0.7854,PROVEN,proven,quantum adversary present,No generic quantum algorithm beats sqrt(N) in the black-box model,"passes dimensional; regime gate n/a (theorem, not fitted)"
4,Cryptography/hash,Avalanche criterion,"E[Hamming(H(x),H(x^e_i))] = b/2",b = digest bits [1],0.5 flip rate,PROVEN,proven (design target),hash function family,Measure bit-flip rate over 10^6 pairs; deviation from 0.5 beyond binomial CI falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
5,Cryptography/hash,Merkle-Damgard length extension,H(m||pad||m') computable from H(m) and |m| alone,boolean property,"holds for SHA-1/SHA-2, not SHA-3/BLAKE2",PROVEN,proven,construction type,Exhibit SHA-3 length extension -> falsified,"passes dimensional; regime gate n/a (theorem, not fitted)"
6,Cryptography/hash,Unicity distance,U = H(K)/D,H(K) = key entropy [bit]; D = plaintext redundancy [bit/char]; U [char],n/a - derived,PROVEN,proven,language redundancy D,Ciphertext shorter than U must admit multiple valid keys,"passes dimensional; regime gate n/a (theorem, not fitted)"
7,Cryptography/symmetric,PRP/PRF switching lemma,|Adv_PRP - Adv_PRF| <= q(q-1)/2^(n+1),q = queries [1]; n = block bits [1],tight,PROVEN,proven,block width n,A distinguisher exceeding the bound falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
8,Cryptography/symmetric,Sweet32 birthday bound on 64-bit blocks,N_safe = 2^(n/2) blocks,n = 64 bit -> 2^32 blocks * 8 B = 32 GB,32 GB per key,PROVEN,proven,block size n = 64 vs 128,Collision-free 3DES stream well past 32 GB would falsify,"passes dimensional; regime gate n/a (theorem, not fitted)"
9,Cryptography/symmetric,GCM forgery bound,Adv_forge <= q*(l+1)/2^t,q = forgery attempts [1]; l = max blocks [1]; t = tag bits [1],tight,PROVEN,proven,tag length t,Forgery probability above bound falsifies,"passes dimensional; regime gate n/a (theorem, not fitted)"
10,Cryptography/symmetric,GCM nonce reuse catastrophe,"2 messages under same (K,IV) -> authentication key H recoverable",boolean,deterministic,PROVEN,proven,nonce reuse yes/no,Algebraic; a construction immune to it is not GCM,"passes dimensional; regime gate n/a (theorem, not fitted)"
