Category,Name,Symbol,Definition,Units/Dimension,Bucket,Typical Value / Formula,Estimation / Source,Notes
Technical Indicators,EMA period 2,α_2,EMA smoothing factor,dimensionless,E,0.666667,Definition α = 2/(2+1),Default; tunable
Technical Indicators,EMA period 3,α_3,EMA smoothing factor,dimensionless,E,0.500000,Definition α = 2/(3+1),Default; tunable
Technical Indicators,EMA period 4,α_4,EMA smoothing factor,dimensionless,E,0.400000,Definition α = 2/(4+1),Default; tunable
Technical Indicators,EMA period 5,α_5,EMA smoothing factor,dimensionless,E,0.333333,Definition α = 2/(5+1),Default; tunable
Technical Indicators,EMA period 6,α_6,EMA smoothing factor,dimensionless,E,0.285714,Definition α = 2/(6+1),Default; tunable
Technical Indicators,EMA period 7,α_7,EMA smoothing factor,dimensionless,E,0.250000,Definition α = 2/(7+1),Default; tunable
Technical Indicators,EMA period 8,α_8,EMA smoothing factor,dimensionless,E,0.222222,Definition α = 2/(8+1),Default; tunable
Technical Indicators,EMA period 9,α_9,EMA smoothing factor,dimensionless,E,0.200000,Definition α = 2/(9+1),Default; tunable
Technical Indicators,EMA period 10,α_10,EMA smoothing factor,dimensionless,E,0.181818,Definition α = 2/(10+1),Default; tunable
Technical Indicators,EMA period 11,α_11,EMA smoothing factor,dimensionless,E,0.166667,Definition α = 2/(11+1),Default; tunable
Technical Indicators,EMA period 12,α_12,EMA smoothing factor,dimensionless,E,0.153846,Definition α = 2/(12+1),Default; tunable
Technical Indicators,EMA period 13,α_13,EMA smoothing factor,dimensionless,E,0.142857,Definition α = 2/(13+1),Default; tunable
Technical Indicators,EMA period 14,α_14,EMA smoothing factor,dimensionless,E,0.133333,Definition α = 2/(14+1),Default; tunable
Technical Indicators,EMA period 15,α_15,EMA smoothing factor,dimensionless,E,0.125000,Definition α = 2/(15+1),Default; tunable
Technical Indicators,EMA period 16,α_16,EMA smoothing factor,dimensionless,E,0.117647,Definition α = 2/(16+1),Default; tunable
Technical Indicators,EMA period 17,α_17,EMA smoothing factor,dimensionless,E,0.111111,Definition α = 2/(17+1),Default; tunable
Technical Indicators,EMA period 18,α_18,EMA smoothing factor,dimensionless,E,0.105263,Definition α = 2/(18+1),Default; tunable
Technical Indicators,EMA period 19,α_19,EMA smoothing factor,dimensionless,E,0.100000,Definition α = 2/(19+1),Default; tunable
Technical Indicators,EMA period 20,α_20,EMA smoothing factor,dimensionless,E,0.095238,Definition α = 2/(20+1),Default; tunable
Technical Indicators,EMA period 21,α_21,EMA smoothing factor,dimensionless,E,0.090909,Definition α = 2/(21+1),Default; tunable
Technical Indicators,EMA period 22,α_22,EMA smoothing factor,dimensionless,E,0.086957,Definition α = 2/(22+1),Default; tunable
Technical Indicators,EMA period 23,α_23,EMA smoothing factor,dimensionless,E,0.083333,Definition α = 2/(23+1),Default; tunable
Technical Indicators,EMA period 24,α_24,EMA smoothing factor,dimensionless,E,0.080000,Definition α = 2/(24+1),Default; tunable
Technical Indicators,EMA period 25,α_25,EMA smoothing factor,dimensionless,E,0.076923,Definition α = 2/(25+1),Default; tunable
Technical Indicators,EMA period 26,α_26,EMA smoothing factor,dimensionless,E,0.074074,Definition α = 2/(26+1),Default; tunable
Technical Indicators,EMA period 27,α_27,EMA smoothing factor,dimensionless,E,0.071429,Definition α = 2/(27+1),Default; tunable
Technical Indicators,EMA period 28,α_28,EMA smoothing factor,dimensionless,E,0.068966,Definition α = 2/(28+1),Default; tunable
Technical Indicators,EMA period 29,α_29,EMA smoothing factor,dimensionless,E,0.066667,Definition α = 2/(29+1),Default; tunable
Technical Indicators,EMA period 30,α_30,EMA smoothing factor,dimensionless,E,0.064516,Definition α = 2/(30+1),Default; tunable
Technical Indicators,EMA period 31,α_31,EMA smoothing factor,dimensionless,E,0.062500,Definition α = 2/(31+1),Default; tunable
Technical Indicators,EMA period 32,α_32,EMA smoothing factor,dimensionless,E,0.060606,Definition α = 2/(32+1),Default; tunable
Technical Indicators,EMA period 33,α_33,EMA smoothing factor,dimensionless,E,0.058824,Definition α = 2/(33+1),Default; tunable
Technical Indicators,EMA period 34,α_34,EMA smoothing factor,dimensionless,E,0.057143,Definition α = 2/(34+1),Default; tunable
Technical Indicators,EMA period 35,α_35,EMA smoothing factor,dimensionless,E,0.055556,Definition α = 2/(35+1),Default; tunable
Technical Indicators,EMA period 36,α_36,EMA smoothing factor,dimensionless,E,0.054054,Definition α = 2/(36+1),Default; tunable
Technical Indicators,EMA period 37,α_37,EMA smoothing factor,dimensionless,E,0.052632,Definition α = 2/(37+1),Default; tunable
Technical Indicators,EMA period 38,α_38,EMA smoothing factor,dimensionless,E,0.051282,Definition α = 2/(38+1),Default; tunable
Technical Indicators,EMA period 39,α_39,EMA smoothing factor,dimensionless,E,0.050000,Definition α = 2/(39+1),Default; tunable
Technical Indicators,EMA period 40,α_40,EMA smoothing factor,dimensionless,E,0.048780,Definition α = 2/(40+1),Default; tunable
Technical Indicators,EMA period 41,α_41,EMA smoothing factor,dimensionless,E,0.047619,Definition α = 2/(41+1),Default; tunable
Technical Indicators,EMA period 42,α_42,EMA smoothing factor,dimensionless,E,0.046512,Definition α = 2/(42+1),Default; tunable
Technical Indicators,EMA period 43,α_43,EMA smoothing factor,dimensionless,E,0.045455,Definition α = 2/(43+1),Default; tunable
Technical Indicators,EMA period 44,α_44,EMA smoothing factor,dimensionless,E,0.044444,Definition α = 2/(44+1),Default; tunable
Technical Indicators,EMA period 45,α_45,EMA smoothing factor,dimensionless,E,0.043478,Definition α = 2/(45+1),Default; tunable
Technical Indicators,EMA period 46,α_46,EMA smoothing factor,dimensionless,E,0.042553,Definition α = 2/(46+1),Default; tunable
Technical Indicators,EMA period 47,α_47,EMA smoothing factor,dimensionless,E,0.041667,Definition α = 2/(47+1),Default; tunable
Technical Indicators,EMA period 48,α_48,EMA smoothing factor,dimensionless,E,0.040816,Definition α = 2/(48+1),Default; tunable
Technical Indicators,EMA period 49,α_49,EMA smoothing factor,dimensionless,E,0.040000,Definition α = 2/(49+1),Default; tunable
Technical Indicators,EMA period 50,α_50,EMA smoothing factor,dimensionless,E,0.039216,Definition α = 2/(50+1),Default; tunable
Technical Indicators,EMA period 51,α_51,EMA smoothing factor,dimensionless,E,0.038462,Definition α = 2/(51+1),Default; tunable
Technical Indicators,EMA period 52,α_52,EMA smoothing factor,dimensionless,E,0.037736,Definition α = 2/(52+1),Default; tunable
Technical Indicators,EMA period 53,α_53,EMA smoothing factor,dimensionless,E,0.037037,Definition α = 2/(53+1),Default; tunable
Technical Indicators,EMA period 54,α_54,EMA smoothing factor,dimensionless,E,0.036364,Definition α = 2/(54+1),Default; tunable
Technical Indicators,EMA period 55,α_55,EMA smoothing factor,dimensionless,E,0.035714,Definition α = 2/(55+1),Default; tunable
Technical Indicators,EMA period 56,α_56,EMA smoothing factor,dimensionless,E,0.035088,Definition α = 2/(56+1),Default; tunable
Technical Indicators,EMA period 57,α_57,EMA smoothing factor,dimensionless,E,0.034483,Definition α = 2/(57+1),Default; tunable
Technical Indicators,EMA period 58,α_58,EMA smoothing factor,dimensionless,E,0.033898,Definition α = 2/(58+1),Default; tunable
Technical Indicators,EMA period 59,α_59,EMA smoothing factor,dimensionless,E,0.033333,Definition α = 2/(59+1),Default; tunable
Technical Indicators,EMA period 60,α_60,EMA smoothing factor,dimensionless,E,0.032787,Definition α = 2/(60+1),Default; tunable
Technical Indicators,EMA period 61,α_61,EMA smoothing factor,dimensionless,E,0.032258,Definition α = 2/(61+1),Default; tunable
Technical Indicators,EMA period 62,α_62,EMA smoothing factor,dimensionless,E,0.031746,Definition α = 2/(62+1),Default; tunable
Technical Indicators,EMA period 63,α_63,EMA smoothing factor,dimensionless,E,0.031250,Definition α = 2/(63+1),Default; tunable
Technical Indicators,EMA period 64,α_64,EMA smoothing factor,dimensionless,E,0.030769,Definition α = 2/(64+1),Default; tunable
Technical Indicators,EMA period 65,α_65,EMA smoothing factor,dimensionless,E,0.030303,Definition α = 2/(65+1),Default; tunable
Technical Indicators,EMA period 66,α_66,EMA smoothing factor,dimensionless,E,0.029851,Definition α = 2/(66+1),Default; tunable
Technical Indicators,EMA period 67,α_67,EMA smoothing factor,dimensionless,E,0.029412,Definition α = 2/(67+1),Default; tunable
Technical Indicators,EMA period 68,α_68,EMA smoothing factor,dimensionless,E,0.028986,Definition α = 2/(68+1),Default; tunable
Technical Indicators,EMA period 69,α_69,EMA smoothing factor,dimensionless,E,0.028571,Definition α = 2/(69+1),Default; tunable
Technical Indicators,EMA period 70,α_70,EMA smoothing factor,dimensionless,E,0.028169,Definition α = 2/(70+1),Default; tunable
Technical Indicators,EMA period 71,α_71,EMA smoothing factor,dimensionless,E,0.027778,Definition α = 2/(71+1),Default; tunable
Technical Indicators,EMA period 72,α_72,EMA smoothing factor,dimensionless,E,0.027397,Definition α = 2/(72+1),Default; tunable
Technical Indicators,EMA period 73,α_73,EMA smoothing factor,dimensionless,E,0.027027,Definition α = 2/(73+1),Default; tunable
Technical Indicators,EMA period 74,α_74,EMA smoothing factor,dimensionless,E,0.026667,Definition α = 2/(74+1),Default; tunable
Technical Indicators,EMA period 75,α_75,EMA smoothing factor,dimensionless,E,0.026316,Definition α = 2/(75+1),Default; tunable
Technical Indicators,EMA period 76,α_76,EMA smoothing factor,dimensionless,E,0.025974,Definition α = 2/(76+1),Default; tunable
Technical Indicators,EMA period 77,α_77,EMA smoothing factor,dimensionless,E,0.025641,Definition α = 2/(77+1),Default; tunable
Technical Indicators,EMA period 78,α_78,EMA smoothing factor,dimensionless,E,0.025316,Definition α = 2/(78+1),Default; tunable
Technical Indicators,EMA period 79,α_79,EMA smoothing factor,dimensionless,E,0.025000,Definition α = 2/(79+1),Default; tunable
Technical Indicators,EMA period 80,α_80,EMA smoothing factor,dimensionless,E,0.024691,Definition α = 2/(80+1),Default; tunable
